,keyword,query,type,value
199,guided meditation,guided breathing meditation,rising,60
200,yoga nidra,sleep yoga nidra,top,100
201,yoga nidra,yoga nidra youtube,top,82
202,yoga nidra,nidra yoga meditation,top,64
203,yoga nidra,meditation,top,63
204,yoga nidra,nidra yoga for sleep,top,63
205,yoga nidra,what is yoga nidra,top,28
206,yoga nidra,yoga nidra script,top,19
207,yoga nidra,cedric michel yoga nidra,top,15
208,yoga nidra,yoga nidra benefits,top,15
209,yoga nidra,yoga nidra ally boothroyd,top,14
210,yoga nidra,huberman yoga nidra,top,12
211,yoga nidra,yoga nidra training,top,12
212,yoga nidra,yoga nidra pdf,top,11
213,yoga nidra,yin yoga,top,9
214,yoga nidra,yoga nidra sleep meditation,top,9
215,yoga nidra,guided yoga nidra,top,8
216,yoga nidra,yoga nidra online,top,8
217,yoga nidra,yoga nidra in hindi,top,8
218,yoga nidra,yoga nidra meaning,top,8
219,yoga nidra,yoga nidra sri sri,top,7
220,yoga nidra,yoga nidra nsdr,top,7
221,yoga nidra,nsdr,top,7
222,yoga nidra,yoga nidra para dormir,top,7
223,yoga nidra,yoga nidra you tube,top,6
224,yoga nidra,yoga nidra guided meditation,top,6
225,yoga nidra,yoga nidra ally boothroyd,rising,131050
226,yoga nidra,yoga nidra nsdr,rising,65350
227,yoga nidra,nsdr,rising,65300
228,yoga nidra,anabel otero yoga nidra,rising,27900
229,yoga nidra,yoga nidra ally boothroyd sleep,rising,27700
230,yoga nidra,non sleep deep rest,rising,16150
231,yoga nidra,nsdr huberman,rising,15400
232,yoga nidra,kelly boys yoga nidra,rising,11400
233,yoga nidra,huberman yoga nidra,rising,8200
234,yoga nidra,andrew huberman,rising,8150
235,yoga nidra,andrew huberman yoga nidra,rising,3650
236,yoga nidra,yoga nidra mindful movement,rising,1350
237,yoga nidra,yoga nidra for sleep and anxiety,rising,650
238,yoga nidra,yoga nidra sömn,rising,600
239,yoga nidra,yoga nidra para dormir profundamente,rising,500
240,yoga nidra,yoga nidra per dormire,rising,400
241,yoga nidra,yoga nidra teacher training near me,rising,300
242,yoga nidra,yoga nidra einschlafen,rising,250
243,yoga nidra,tim rowe yoga nidra,rising,250
244,yoga nidra,yoga nidra 20 minutes,rising,250
245,yoga nidra,yoga nidra lizzy hill,rising,250
246,yoga nidra,yoga nidra para dormir,rising,200
247,yoga nidra,yoga nidra slaap,rising,200
248,yoga nidra,yoga nidra cédric michel,rising,200
249,yoga nidra,yoga nidra 10 minutes,rising,200
