country,keyword,search_interest
Hong Kong,mindfulness,37
Hungary,mindfulness,41
Iceland,mindfulness,15
India,mindfulness,7
Indonesia,mindfulness,41
Iran,mindfulness,18
Iraq,mindfulness,20
Ireland,mindfulness,18
Isle of Man,mindfulness,18
Israel,mindfulness,20
Italy,mindfulness,62
Jamaica,mindfulness,14
Japan,mindfulness,20
Jersey,mindfulness,17
Jordan,mindfulness,21
Kazakhstan,mindfulness,20
Kenya,mindfulness,13
Kosovo,mindfulness,16
Kuwait,mindfulness,14
Kyrgyzstan,mindfulness,23
Laos,mindfulness,22
Latvia,mindfulness,16
Lebanon,mindfulness,16
Lesotho,mindfulness,8
Liberia,mindfulness,10
Libya,mindfulness,19
Liechtenstein,mindfulness,4
Lithuania,mindfulness,29
Luxembourg,mindfulness,12
Macao,mindfulness,25
Madagascar,mindfulness,5
Malawi,mindfulness,9
Malaysia,mindfulness,20
Maldives,mindfulness,15
Mali,mindfulness,0
Malta,mindfulness,22
Marshall Islands,mindfulness,0
Martinique,mindfulness,0
Mauritania,mindfulness,20
Mauritius,mindfulness,9
Mayotte,mindfulness,0
Mexico,mindfulness,66
Micronesia,mindfulness,0
Moldova,mindfulness,25
Mongolia,mindfulness,17
Montenegro,mindfulness,19
Morocco,mindfulness,14
Mozambique,mindfulness,27
Myanmar (Burma),mindfulness,23
Namibia,mindfulness,11
Nepal,mindfulness,7
Netherlands,mindfulness,42
New Caledonia,mindfulness,0
New Zealand,mindfulness,18
Nicaragua,mindfulness,53
Niger,mindfulness,14
Nigeria,mindfulness,11
North Macedonia,mindfulness,15
Northern Mariana Islands,mindfulness,23
Norway,mindfulness,31
Oman,mindfulness,14
Pakistan,mindfulness,19
Palau,mindfulness,0
Palestine,mindfulness,22
Panama,mindfulness,52
Papua New Guinea,mindfulness,10
Paraguay,mindfulness,70
Peru,mindfulness,80
Philippines,mindfulness,23
Poland,mindfulness,50
Portugal,mindfulness,41
Puerto Rico,mindfulness,39
Qatar,mindfulness,17
Romania,mindfulness,29
Russia,mindfulness,24
Rwanda,mindfulness,11
Réunion,mindfulness,1
Samoa,mindfulness,0
San Marino,mindfulness,60
Saudi Arabia,mindfulness,19
Senegal,mindfulness,7
Serbia,mindfulness,19
Seychelles,mindfulness,9
Sierra Leone,mindfulness,19
Singapore,mindfulness,26
Sint Maarten,mindfulness,15
Slovakia,mindfulness,29
Slovenia,mindfulness,14
Solomon Islands,mindfulness,0
Somalia,mindfulness,14
South Africa,mindfulness,11
South Korea,mindfulness,25
South Sudan,mindfulness,0
Spain,mindfulness,66
Sri Lanka,mindfulness,13
St. Barthélemy,mindfulness,0
St. Helena,mindfulness,28
St. Kitts & Nevis,mindfulness,14
St. Lucia,mindfulness,9
St. Martin,mindfulness,0
St. Pierre & Miquelon,mindfulness,0
St. Vincent & Grenadines,mindfulness,11
Sudan,mindfulness,20
Suriname,mindfulness,17
Sweden,mindfulness,26
Switzerland,mindfulness,7
Syria,mindfulness,17
Taiwan,mindfulness,25
Tajikistan,mindfulness,16
Tanzania,mindfulness,7
Thailand,mindfulness,20
Timor-Leste,mindfulness,17
Togo,mindfulness,3
Tonga,mindfulness,0
Trinidad & Tobago,mindfulness,12
Tunisia,mindfulness,12
Turkmenistan,mindfulness,14
Turks & Caicos Islands,mindfulness,15
Türkiye,mindfulness,54
U.S. Virgin Islands,mindfulness,9
Uganda,mindfulness,10
Ukraine,mindfulness,23
United Arab Emirates,mindfulness,16
United Kingdom,mindfulness,22
United States,mindfulness,15
Uruguay,mindfulness,70
Uzbekistan,mindfulness,19
Vanuatu,mindfulness,0
Venezuela,mindfulness,66
Vietnam,mindfulness,24
Western Sahara,mindfulness,0
Yemen,mindfulness,25
Zambia,mindfulness,9
Zimbabwe,mindfulness,12
Åland Islands,mindfulness,11
Afghanistan,breathwork,0
Albania,breathwork,2
Algeria,breathwork,2
American Samoa,breathwork,0
Andorra,breathwork,0
Angola,breathwork,0
Antigua & Barbuda,breathwork,0
Argentina,breathwork,1
Armenia,breathwork,2
Aruba,breathwork,0
Australia,breathwork,2
Austria,breathwork,2
Azerbaijan,breathwork,1
Bahamas,breathwork,2
Bahrain,breathwork,1
Bangladesh,breathwork,1
Barbados,breathwork,3
Belarus,breathwork,1
Belgium,breathwork,2
Belize,breathwork,0
Benin,breathwork,0
Bermuda,breathwork,0
Bhutan,breathwork,0
Bolivia,breathwork,1
Bosnia & Herzegovina,breathwork,2
Botswana,breathwork,0
Brazil,breathwork,1
British Virgin Islands,breathwork,0
Brunei,breathwork,0
Bulgaria,breathwork,2
Burkina Faso,breathwork,0
Burundi,breathwork,0
Cambodia,breathwork,2
Cameroon,breathwork,0
Canada,breathwork,1
Cape Verde,breathwork,0
Caribbean Netherlands,breathwork,0
Cayman Islands,breathwork,2
Central African Republic,breathwork,0
Chad,breathwork,0
Chile,breathwork,0
China,breathwork,1
Colombia,breathwork,1
Comoros,breathwork,0
Congo - Brazzaville,breathwork,0
Congo - Kinshasa,breathwork,0
Cook Islands,breathwork,0
Costa Rica,breathwork,6
Croatia,breathwork,1
Cuba,breathwork,0
Curaçao,breathwork,0
Cyprus,breathwork,2
Czechia,breathwork,3
Côte d’Ivoire,breathwork,0
Denmark,breathwork,1
Djibouti,breathwork,0
Dominica,breathwork,0
Dominican Republic,breathwork,2
Ecuador,breathwork,1
Egypt,breathwork,2
El Salvador,breathwork,2
Equatorial Guinea,breathwork,0
Eritrea,breathwork,0
Estonia,breathwork,5
Eswatini,breathwork,4
Ethiopia,breathwork,1
Falkland Islands (Islas Malvinas),breathwork,0
Faroe Islands,breathwork,0
Fiji,breathwork,0
Finland,breathwork,1
France,breathwork,1
French Guiana,breathwork,0
French Polynesia,breathwork,2
Gabon,breathwork,0
Gambia,breathwork,0
Georgia,breathwork,3
Germany,breathwork,2
Ghana,breathwork,0
Gibraltar,breathwork,0
Greece,breathwork,4
Greenland,breathwork,0
Grenada,breathwork,0
Guadeloupe,breathwork,0
Guam,breathwork,0
Guatemala,breathwork,2
Guernsey,breathwork,0
Guinea,breathwork,0
Guinea-Bissau,breathwork,0
Guyana,breathwork,0
Haiti,breathwork,0
Honduras,breathwork,1
Hong Kong,breathwork,1
Hungary,breathwork,1
Iceland,breathwork,4
India,breathwork,0
Indonesia,breathwork,3
Iran,breathwork,0
Iraq,breathwork,3
Ireland,breathwork,1
Isle of Man,breathwork,2
Israel,breathwork,1
Italy,breathwork,1
Jamaica,breathwork,1
Japan,breathwork,1
Jersey,breathwork,1
Jordan,breathwork,2
Kazakhstan,breathwork,2
Kenya,breathwork,1
Kosovo,breathwork,0
Kuwait,breathwork,1
Kyrgyzstan,breathwork,0
Laos,breathwork,3
Latvia,breathwork,3
Lebanon,breathwork,2
Lesotho,breathwork,0
Liberia,breathwork,0
Libya,breathwork,2
Liechtenstein,breathwork,0
Lithuania,breathwork,2
Luxembourg,breathwork,2
Macao,breathwork,0
Madagascar,breathwork,1
Malawi,breathwork,0
Malaysia,breathwork,1
Maldives,breathwork,2
Mali,breathwork,0
Malta,breathwork,1
Marshall Islands,breathwork,0
Martinique,breathwork,0
Mauritania,breathwork,0
Mauritius,breathwork,1
Mayotte,breathwork,0
Mexico,breathwork,2
Micronesia,breathwork,0
Moldova,breathwork,3
Mongolia,breathwork,0
Montenegro,breathwork,3
Morocco,breathwork,2
Mozambique,breathwork,0
Myanmar (Burma),breathwork,1
Namibia,breathwork,2
Nepal,breathwork,0
Netherlands,breathwork,4
New Caledonia,breathwork,0
New Zealand,breathwork,2
Nicaragua,breathwork,6
Niger,breathwork,0
Nigeria,breathwork,0
North Macedonia,breathwork,1
Northern Mariana Islands,breathwork,0
Norway,breathwork,3
Oman,breathwork,1
Pakistan,breathwork,1
Palau,breathwork,0
Palestine,breathwork,3
Panama,breathwork,2
Papua New Guinea,breathwork,0
Paraguay,breathwork,1
Peru,breathwork,1
Philippines,breathwork,0
Poland,breathwork,1
Portugal,breathwork,3
Puerto Rico,breathwork,2
Qatar,breathwork,1
Romania,breathwork,2
Russia,breathwork,2
Rwanda,breathwork,0
Réunion,breathwork,1
Samoa,breathwork,0
San Marino,breathwork,0
Saudi Arabia,breathwork,1
Senegal,breathwork,0
Serbia,breathwork,2
Seychelles,breathwork,0
Sierra Leone,breathwork,0
Singapore,breathwork,1
Sint Maarten,breathwork,0
Slovakia,breathwork,2
Slovenia,breathwork,2
Solomon Islands,breathwork,0
Somalia,breathwork,3
South Africa,breathwork,1
South Korea,breathwork,3
South Sudan,breathwork,0
Spain,breathwork,1
Sri Lanka,breathwork,1
St. Barthélemy,breathwork,0
St. Helena,breathwork,3
St. Kitts & Nevis,breathwork,0
St. Lucia,breathwork,0
St. Martin,breathwork,0
St. Pierre & Miquelon,breathwork,0
St. Vincent & Grenadines,breathwork,0
Sudan,breathwork,0
Suriname,breathwork,0
Sweden,breathwork,2
Switzerland,breathwork,2
Syria,breathwork,0
Taiwan,breathwork,2
Tajikistan,breathwork,0
Tanzania,breathwork,1
Thailand,breathwork,4
Timor-Leste,breathwork,0
Togo,breathwork,0
Tonga,breathwork,0
Trinidad & Tobago,breathwork,1
Tunisia,breathwork,2
Turkmenistan,breathwork,0
Turks & Caicos Islands,breathwork,0
Türkiye,breathwork,1
U.S. Virgin Islands,breathwork,0
Uganda,breathwork,0
Ukraine,breathwork,1
United Arab Emirates,breathwork,2
United Kingdom,breathwork,2
United States,breathwork,1
Uruguay,breathwork,0
Uzbekistan,breathwork,1
Vanuatu,breathwork,0
Venezuela,breathwork,1
Vietnam,breathwork,3
Western Sahara,breathwork,0
Yemen,breathwork,0
Zambia,breathwork,0
Zimbabwe,breathwork,0
Åland Islands,breathwork,0
Afghanistan,yoga nidra,3
Albania,yoga nidra,1
Algeria,yoga nidra,1
American Samoa,yoga nidra,0
Andorra,yoga nidra,5
Angola,yoga nidra,0
Antigua & Barbuda,yoga nidra,0
Argentina,yoga nidra,7
Armenia,yoga nidra,2
Aruba,yoga nidra,0
Australia,yoga nidra,2
Austria,yoga nidra,3
Azerbaijan,yoga nidra,2
Bahamas,yoga nidra,2
Bahrain,yoga nidra,2
Bangladesh,yoga nidra,1
Barbados,yoga nidra,4
Belarus,yoga nidra,1
Belgium,yoga nidra,6
Belize,yoga nidra,0
Benin,yoga nidra,0
Bermuda,yoga nidra,3
Bhutan,yoga nidra,0
Bolivia,yoga nidra,1
Bosnia & Herzegovina,yoga nidra,2
Botswana,yoga nidra,1
Brazil,yoga nidra,3
British Virgin Islands,yoga nidra,0
Brunei,yoga nidra,0
Bulgaria,yoga nidra,2
Burkina Faso,yoga nidra,0
Burundi,yoga nidra,0
Cambodia,yoga nidra,1
Cameroon,yoga nidra,0
Canada,yoga nidra,2
Cape Verde,yoga nidra,0
Caribbean Netherlands,yoga nidra,0
Cayman Islands,yoga nidra,5
Central African Republic,yoga nidra,0
Chad,yoga nidra,0
Chile,yoga nidra,3
China,yoga nidra,2
Colombia,yoga nidra,4
Comoros,yoga nidra,0
Congo - Brazzaville,yoga nidra,0
Congo - Kinshasa,yoga nidra,0
Cook Islands,yoga nidra,47
Costa Rica,yoga nidra,3
Croatia,yoga nidra,5
Cuba,yoga nidra,3
Curaçao,yoga nidra,9
Cyprus,yoga nidra,2
Czechia,yoga nidra,3
Côte d’Ivoire,yoga nidra,0
Denmark,yoga nidra,3
Djibouti,yoga nidra,0
Dominica,yoga nidra,0
Dominican Republic,yoga nidra,3
Ecuador,yoga nidra,2
Egypt,yoga nidra,1
El Salvador,yoga nidra,1
Equatorial Guinea,yoga nidra,0
Eritrea,yoga nidra,0
Estonia,yoga nidra,2
Eswatini,yoga nidra,0
Ethiopia,yoga nidra,1
Falkland Islands (Islas Malvinas),yoga nidra,0
Faroe Islands,yoga nidra,0
Fiji,yoga nidra,0
Finland,yoga nidra,3
France,yoga nidra,4
French Guiana,yoga nidra,9
French Polynesia,yoga nidra,4
Gabon,yoga nidra,0
Gambia,yoga nidra,0
Georgia,yoga nidra,1
Germany,yoga nidra,3
Ghana,yoga nidra,0
Gibraltar,yoga nidra,0
Greece,yoga nidra,5
Greenland,yoga nidra,0
Grenada,yoga nidra,6
Guadeloupe,yoga nidra,3
Guam,yoga nidra,0
Guatemala,yoga nidra,2
Guernsey,yoga nidra,3
Guinea,yoga nidra,0
Guinea-Bissau,yoga nidra,0
Guyana,yoga nidra,0
Haiti,yoga nidra,0
Honduras,yoga nidra,1
Hong Kong,yoga nidra,1
Hungary,yoga nidra,2
Iceland,yoga nidra,19
India,yoga nidra,2
Indonesia,yoga nidra,2
Iran,yoga nidra,1
Iraq,yoga nidra,2
Ireland,yoga nidra,3
Isle of Man,yoga nidra,5
Israel,yoga nidra,2
Italy,yoga nidra,6
Jamaica,yoga nidra,1
Japan,yoga nidra,1
Jersey,yoga nidra,4
Jordan,yoga nidra,2
Kazakhstan,yoga nidra,2
Kenya,yoga nidra,0
Kosovo,yoga nidra,2
Kuwait,yoga nidra,3
Kyrgyzstan,yoga nidra,0
Laos,yoga nidra,2
Latvia,yoga nidra,2
Lebanon,yoga nidra,2
Lesotho,yoga nidra,0
Liberia,yoga nidra,0
Libya,yoga nidra,0
Liechtenstein,yoga nidra,0
Lithuania,yoga nidra,2
Luxembourg,yoga nidra,4
Macao,yoga nidra,3
Madagascar,yoga nidra,0
Malawi,yoga nidra,0
Malaysia,yoga nidra,1
Maldives,yoga nidra,3
Mali,yoga nidra,0
Malta,yoga nidra,1
Marshall Islands,yoga nidra,0
Martinique,yoga nidra,2
Mauritania,yoga nidra,0
Mauritius,yoga nidra,1
Mayotte,yoga nidra,0
Mexico,yoga nidra,2
Micronesia,yoga nidra,0
Moldova,yoga nidra,3
Mongolia,yoga nidra,2
Montenegro,yoga nidra,3
Morocco,yoga nidra,2
Mozambique,yoga nidra,3
Myanmar (Burma),yoga nidra,0
Namibia,yoga nidra,2
Nepal,yoga nidra,1
Netherlands,yoga nidra,13
New Caledonia,yoga nidra,3
New Zealand,yoga nidra,3
Nicaragua,yoga nidra,4
Niger,yoga nidra,0
Nigeria,yoga nidra,0
North Macedonia,yoga nidra,2
Northern Mariana Islands,yoga nidra,0
Norway,yoga nidra,8
Oman,yoga nidra,2
Pakistan,yoga nidra,0
Palau,yoga nidra,0
Palestine,yoga nidra,1
Panama,yoga nidra,3
Papua New Guinea,yoga nidra,0
Paraguay,yoga nidra,2
Peru,yoga nidra,2
Philippines,yoga nidra,0
Poland,yoga nidra,2
Portugal,yoga nidra,3
Puerto Rico,yoga nidra,1
Qatar,yoga nidra,2
Romania,yoga nidra,3
Russia,yoga nidra,2
Rwanda,yoga nidra,0
Réunion,yoga nidra,4
Samoa,yoga nidra,0
San Marino,yoga nidra,0
Saudi Arabia,yoga nidra,1
Senegal,yoga nidra,1
Serbia,yoga nidra,4
Seychelles,yoga nidra,0
Sierra Leone,yoga nidra,0
Singapore,yoga nidra,1
Sint Maarten,yoga nidra,0
Slovakia,yoga nidra,2
Slovenia,yoga nidra,3
Solomon Islands,yoga nidra,0
Somalia,yoga nidra,0
South Africa,yoga nidra,1
South Korea,yoga nidra,2
South Sudan,yoga nidra,0
Spain,yoga nidra,6
Sri Lanka,yoga nidra,0
St. Barthélemy,yoga nidra,3
St. Helena,yoga nidra,3
St. Kitts & Nevis,yoga nidra,0
St. Lucia,yoga nidra,0
St. Martin,yoga nidra,0
St. Pierre & Miquelon,yoga nidra,0
St. Vincent & Grenadines,yoga nidra,0
Sudan,yoga nidra,0
Suriname,yoga nidra,2
Sweden,yoga nidra,7
Switzerland,yoga nidra,6
Syria,yoga nidra,0
Taiwan,yoga nidra,2
Tajikistan,yoga nidra,0
Tanzania,yoga nidra,0
Thailand,yoga nidra,1
Timor-Leste,yoga nidra,0
Togo,yoga nidra,0
Tonga,yoga nidra,0
Trinidad & Tobago,yoga nidra,1
Tunisia,yoga nidra,2
Turkmenistan,yoga nidra,0
Turks & Caicos Islands,yoga nidra,0
Türkiye,yoga nidra,2
U.S. Virgin Islands,yoga nidra,7
Uganda,yoga nidra,0
Ukraine,yoga nidra,1
United Arab Emirates,yoga nidra,2
United Kingdom,yoga nidra,2
United States,yoga nidra,2
Uruguay,yoga nidra,10
Uzbekistan,yoga nidra,1
Vanuatu,yoga nidra,0
Venezuela,yoga nidra,3
Vietnam,yoga nidra,2
Western Sahara,yoga nidra,0
Yemen,yoga nidra,0
Zambia,yoga nidra,0
Zimbabwe,yoga nidra,0
Åland Islands,yoga nidra,0
Afghanistan,guided meditation,3
Albania,guided meditation,3
Algeria,guided meditation,2
American Samoa,guided meditation,0
Andorra,guided meditation,0
Angola,guided meditation,3
Antigua & Barbuda,guided meditation,4
Argentina,guided meditation,0
Armenia,guided meditation,2
Aruba,guided meditation,7
Australia,guided meditation,6
Austria,guided meditation,0
Azerbaijan,guided meditation,1
Bahamas,guided meditation,1
Bahrain,guided meditation,3
Bangladesh,guided meditation,1
Barbados,guided meditation,3
Belarus,guided meditation,2
Belgium,guided meditation,1
Belize,guided meditation,2
Benin,guided meditation,0
Bermuda,guided meditation,5
Bhutan,guided meditation,1
Bolivia,guided meditation,0
Bosnia & Herzegovina,guided meditation,1
Botswana,guided meditation,2
Brazil,guided meditation,1
British Virgin Islands,guided meditation,0
Brunei,guided meditation,0
Bulgaria,guided meditation,3
Burkina Faso,guided meditation,0
Burundi,guided meditation,0
Cambodia,guided meditation,1
Cameroon,guided meditation,0
Canada,guided meditation,6
Cape Verde,guided meditation,0
Caribbean Netherlands,guided meditation,0
Cayman Islands,guided meditation,8
Central African Republic,guided meditation,0
Chad,guided meditation,0
Chile,guided meditation,0
China,guided meditation,2
Colombia,guided meditation,0
Comoros,guided meditation,0
Congo - Brazzaville,guided meditation,0
Congo - Kinshasa,guided meditation,0
Cook Islands,guided meditation,0
Costa Rica,guided meditation,3
Croatia,guided meditation,2
Cuba,guided meditation,2
Curaçao,guided meditation,0
Cyprus,guided meditation,3
Czechia,guided meditation,1
Côte d’Ivoire,guided meditation,0
Denmark,guided meditation,1
Djibouti,guided meditation,0
Dominica,guided meditation,0
Dominican Republic,guided meditation,2
Ecuador,guided meditation,1
Egypt,guided meditation,2
El Salvador,guided meditation,1
Equatorial Guinea,guided meditation,0
Eritrea,guided meditation,0
Estonia,guided meditation,2
Eswatini,guided meditation,4
Ethiopia,guided meditation,1
Falkland Islands (Islas Malvinas),guided meditation,0
Faroe Islands,guided meditation,0
Fiji,guided meditation,0
Finland,guided meditation,1
France,guided meditation,0
French Guiana,guided meditation,0
French Polynesia,guided meditation,0
Gabon,guided meditation,0
Gambia,guided meditation,0
Georgia,guided meditation,1
Germany,guided meditation,0
Ghana,guided meditation,0
Gibraltar,guided meditation,10
Greece,guided meditation,2
Greenland,guided meditation,0
Grenada,guided meditation,0
Guadeloupe,guided meditation,0
Guam,guided meditation,3
Guatemala,guided meditation,1
Guernsey,guided meditation,6
Guinea,guided meditation,0
Guinea-Bissau,guided meditation,0
Guyana,guided meditation,0
Haiti,guided meditation,0
Honduras,guided meditation,1
Hong Kong,guided meditation,1
Hungary,guided meditation,1
Iceland,guided meditation,3
India,guided meditation,1
Indonesia,guided meditation,1
Iran,guided meditation,1
Iraq,guided meditation,3
Ireland,guided meditation,6
Isle of Man,guided meditation,11
Israel,guided meditation,2
Italy,guided meditation,0
Jamaica,guided meditation,2
Japan,guided meditation,1
Jersey,guided meditation,5
Jordan,guided meditation,2
Kazakhstan,guided meditation,2
Kenya,guided meditation,2
Kosovo,guided meditation,2
Kuwait,guided meditation,2
Kyrgyzstan,guided meditation,0
Laos,guided meditation,3
Latvia,guided meditation,2
Lebanon,guided meditation,2
Lesotho,guided meditation,3
Liberia,guided meditation,0
Libya,guided meditation,5
Liechtenstein,guided meditation,0
Lithuania,guided meditation,1
Luxembourg,guided meditation,1
Macao,guided meditation,0
